COUNTRY,FLOW,2017_per_million
AUT,ELOUTPUT,638.4809995323518
AUT,HEATOUT,5329.620572791151
AUT,TFC,19379.142503990584
BEL,ELOUTPUT,630.9057094578848
BEL,HEATOUT,297.8479050418268
BEL,TFC,7358.8957379015965
BGR,ELOUTPUT,55.961555393221566
BGR,HEATOUT,102.58217027346305
BGR,TFC,7524.889149113185
CYP,ELOUTPUT,60.20802308265078
CYP,HEATOUT,62.697784810126585
CYP,TFC,4162.011006142964
CZE,ELOUTPUT,477.7227044912114
CZE,HEATOUT,1047.389562101269
CZE,TFC,11901.873067784149
DEU,ELOUTPUT,704.199306926188
DEU,HEATOUT,1284.755118795327
DEU,TFC,7638.018667675527
DNK,ELOUTPUT,1212.8076929619938
DNK,HEATOUT,15049.24910088958
DNK,TFC,11475.661769224334
ESP,ELOUTPUT,147.20777263916395
ESP,HEATOUT,0.0
ESP,TFC,4929.1473947157665
EST,ELOUTPUT,894.7284922239832
EST,HEATOUT,10287.170635137516
EST,TFC,14210.284321048379
EU28,ELOUTPUT,412.7735724205976
EU28,HEATOUT,1450.625203998421
EU28,TFC,7543.751314979204
FIN,ELOUTPUT,2238.959160772585
FIN,HEATOUT,15461.286962785909
FIN,TFC,44703.71894022176
FRA,ELOUTPUT,152.39866225071682
FRA,HEATOUT,1281.0583842961835
FRA,TFC,7663.247631890097
GBR,ELOUTPUT,556.8587595297406
GBR,HEATOUT,67.55624666292421
GBR,TFC,2520.969604754096
GRC,ELOUTPUT,28.827266718048953
GRC,HEATOUT,0.0
GRC,TFC,4233.451012345417
HRV,ELOUTPUT,127.4326705266611
HRV,HEATOUT,442.42606007810343
HRV,TFC,11605.12550396639
HUN,ELOUTPUT,240.70366385508578
HUN,HEATOUT,619.331753094028
HUN,TFC,8952.296467224201
IRL,ELOUTPUT,186.1664813072119
IRL,HEATOUT,0.0
IRL,TFC,3977.939171495402
ITA,ELOUTPUT,360.9612897218255
ITA,HEATOUT,742.2772690020352
ITA,TFC,5925.649559136123
LTU,ELOUTPUT,207.58358618553683
LTU,HEATOUT,8622.195320460558
LTU,TFC,10260.946054975288
LUX,ELOUTPUT,417.0058205343623
LUX,HEATOUT,1711.2941172524932
LUX,TFC,12412.386284936205
LVA,ELOUTPUT,479.1563585887891
LVA,HEATOUT,6817.596320138478
LVA,TFC,21702.100350779274
MLT,ELOUTPUT,20.81174346427923
MLT,HEATOUT,0.0
MLT,TFC,831.5295776754522
NLD,ELOUTPUT,367.0183719327698
NLD,HEATOUT,1540.5624618570866
NLD,TFC,2838.9202334090915
POL,ELOUTPUT,177.00845232094886
POL,HEATOUT,400.6030761369959
POL,TFC,7043.14046830977
PRT,ELOUTPUT,340.1434909662825
PRT,HEATOUT,0.0
PRT,TFC,8768.861101132976
ROU,ELOUTPUT,26.81009218534516
ROU,HEATOUT,149.92536812825472
ROU,TFC,8216.904244025953
SVK,ELOUTPUT,316.4049630536076
SVK,HEATOUT,1133.6159222478468
SVK,TFC,5990.590215677508
SVN,ELOUTPUT,144.6305491198411
SVN,HEATOUT,792.5229447269597
SVN,TFC,12157.39722122332
SWE,ELOUTPUT,1367.808429267342
SWE,HEATOUT,15425.104857524511
SWE,TFC,28868.251622265336
